area,perimeter,aspect_ratio,circularity,mean_intensity,std_intensity,min_intensity,max_intensity,class
16546.5,1776.5453670024872,1.2568493150684932,0.06588148850043443,100.73290993071593,35.864112313570324,19.0,255.0,glioma
5396.5,584.457931637764,0.4484848484848485,0.19852514954566916,95.89400029775197,35.039777324774455,29.0,216.0,glioma
121200.0,4433.046136021614,0.8785046728971962,0.07750112050463674,85.03634075036544,34.126430464585646,0.0,255.0,glioma
4621.0,443.3036035299301,1.0714285714285714,0.2954903546802227,69.31726573862456,13.706599792654119,41.0,140.0,glioma
10805.0,1646.5626116991043,1.0161290322580645,0.05008159315116239,121.11357437583048,46.8472568031243,43.0,255.0,glioma
96588.5,1176.8986176252365,0.8809523809523809,0.8763088145692369,64.61197626992956,23.385268841048415,0.0,255.0,glioma
2181.0,340.1076453924179,0.5632183908045977,0.23693692085020565,83.23017573939134,23.083175752936473,30.0,167.0,glioma
94790.5,1172.6976070404053,0.8519480519480519,0.866168927887466,75.8336639066419,30.813799862571955,0.0,255.0,glioma
88298.5,1144.6143463850021,0.8387096774193549,0.846924741012944,74.38208131546345,29.816579517756136,10.0,255.0,glioma
8354.5,883.7127640247345,0.17964071856287425,0.13443367520413232,93.86851488678909,30.322538243028273,30.0,255.0,glioma
106306.5,1241.5260337591171,0.8264058679706602,0.8666784985742626,62.72424863579779,28.05860522821699,0.0,254.0,glioma
6010.0,623.8721446990967,0.8253968253968254,0.19404083980386103,78.51050304035378,28.588878322876145,4.0,212.0,glioma
1170.5,245.5807341337204,0.7272727272727273,0.24388927093602256,79.653125,26.919091556632722,46.0,174.0,glioma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glioma
9039.0,1176.229570865631,2.1923076923076925,0.08210054940152163,71.09506207942376,28.653998341568567,25.0,187.0,glioma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glioma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glioma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glioma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glioma
